cases,deaths,doctor_visits,wili,wcli
698.0,308.776907233163,39.597467,3.4874032,2.8577086
754.0,0.0,37.528645,3.995162600000001,3.4330643
567.0,0.0,36.602894,3.9152691,3.7457433
492.0,0.0,37.263726,3.9742169,4.0435135
693.0,0.0,35.836379,3.3422757,3.4091446000000003
428.0,0.0,33.206762,3.8659702,3.8881401
321.0,2154.3045892494297,30.455874,4.2484186,4.0385768
347.0,0.0,30.38822200000001,4.6113347000000005,4.3130176
413.0,0.0,30.113063,4.4535626,4.0570074
443.0,0.0,28.914694,4.072536599999999,3.7747137
503.0,0.0,29.244376,4.307334,4.2277799
477.0,728.0622052125586,28.560521,4.2666376,4.308702899999999
2197.0,330.3107646143355,25.300002,3.2749535,3.3294703
253.0,1475.836701883025,23.175313,2.9987972,3.2843208
239.0,733.300511352529,22.187383,2.6982607,2.9604442000000004
328.0,0.0,21.994981000000003,2.7368309,2.9826907
324.0,1723.0301641930612,21.583703000000003,2.6099448,2.7348252
392.0,0.0,20.773314,2.4316039,2.3317704000000004
195.0,0.0,18.939399,2.4515763,2.4294396
85.0,0.0,16.854197999999997,2.7854564,2.7580492
202.0,1051.8423721778577,17.288971,3.5865789,3.5280383000000004
195.0,0.0,17.768598,3.8201067,3.766759
301.0,0.0,19.285051000000003,3.6974466000000006,3.6836311
265.0,36.597786543808894,20.114575,4.2976621,4.3240803
194.0,0.0,20.221525,4.1525654,4.3458631
124.0,890.6518871489383,20.089720000000003,4.0939795000000005,4.0538183000000005
62.0,0.0,18.866797,4.088725200000001,4.082585
123.0,0.0,20.060143,3.1781398,3.1542965
123.0,0.0,21.576243,2.8511335,2.6875491
165.0,543.2149376342119,21.748465,3.6916814,3.5330068
167.0,0.0,23.063026,3.9130025000000006,3.6934145
170.0,0.0,23.57231,4.0900756000000005,3.8273602
66.0,0.0,23.424766,4.1493398,4.1507807
99.0,4441.851934838896,21.935137,4.0401522,3.9156833
169.0,2940.5403750962255,23.220474000000003,4.4889332,4.4046971
93.0,908.9417924452401,24.215160999999995,4.1624433,4.2198884
153.0,0.0,26.007079999999995,3.1607935,3.2343732
142.0,4820.481981075647,27.5349,3.3993818,3.5865168999999995
236.0,1413.3485084534009,29.295295000000003,3.1864645,3.3677236999999995
139.0,991.2899932124524,28.658748000000003,2.8517950999999995,2.8284194
50.0,0.0,27.665289000000005,2.7926458000000003,2.7831273000000003
92.0,0.0,29.914786000000003,2.6242641,2.6179351
130.0,0.0,31.911847,2.8978969,2.8924494
175.0,2851.5871683888427,32.270484,3.3918147,3.3905868
195.0,0.0,32.971107,2.8565408,2.7583603
143.0,0.0,34.850359000000005,2.9815968,2.8811602
82.0,0.0,32.752055,3.2487609000000006,3.1197545000000004
93.0,307.69474061759036,29.9903,3.2635201,3.3234902
115.0,0.0,31.329256000000004,3.1352641,3.1864318
128.0,2165.4000307955175,31.089476000000005,3.3081679,3.4012233
193.0,1269.8495356698766,31.716271,3.2458371,3.2945782
130.0,1013.9919866729873,30.801727,2.9338575,2.9720877
176.0,0.0,29.476909,3.1379014,3.1971347
124.0,515.4357822082169,28.418159,3.0211955,3.0736638000000003
137.0,316.75239311480124,27.107805,2.9903392,2.9521931
193.0,618.7272249364319,28.547635000000003,3.1230374,3.18599
136.0,0.0,28.5735,2.8441193,2.7424737
153.0,0.0,28.14971,2.6639096,2.5139951
192.0,0.0,27.48338,2.6797507,2.5844584
225.0,0.0,27.935856,2.527258,2.3899419
178.0,0.0,26.978094,3.1554089000000003,2.7231191
158.0,0.0,26.593408000000004,3.9068047,3.507364000000001
163.0,0.0,26.828123,4.7415207,4.2243381
182.0,344.4825831875781,26.800754999999995,5.1339077,4.7441152
228.0,0.0,26.585105,4.8583184,4.554894
202.0,3274.8032970822096,27.823132,4.521152799999999,4.2051819
194.0,313.23894453279513,27.343775,4.452557,4.1310384
214.0,0.0,26.341908,3.7572903,3.7909764
205.0,350.18050725618036,24.559393,3.089281,3.0617692
174.0,0.0,24.488643000000003,1.8893827,1.8893827
320.0,4300.389126083504,26.192514000000003,2.3855402,2.8850401
248.0,0.0,26.975039,2.7919974,3.4696999
344.0,1443.6051009137852,29.596698,3.0537104000000004,3.5555596
280.0,0.0,29.725402,3.0765167000000004,3.5759423000000004
246.0,0.0,27.429021,3.2702074,3.8222715
141.0,0.0,26.530737,4.1970831,4.8233949
332.0,3590.6470377038786,31.072631000000005,4.5028086,5.062451900000001
235.0,267.34150631100687,31.973098,3.4788837,3.6135512
166.0,0.0,32.906076,3.4397429,3.4047647000000003
225.0,0.0,33.489138000000004,3.670780300000001,3.821500200000001
266.0,0.0,33.856365,3.3738972,3.5191958
173.0,84.62496196189862,33.125448000000006,3.2003258000000003,3.2832473
141.0,0.0,32.616893999999995,3.0746514,3.0229686
212.0,0.0,32.439725,2.7553919,2.7057768
312.0,1818.4389254819253,33.232842000000005,3.3850291,3.291473
412.0,2703.434558960826,32.892638000000005,3.0971479,3.0030169000000004
512.0,0.0,33.642405,2.8702043,2.7757032
612.0,196.71672509928842,33.929303,3.8839965,3.6109064
712.0,0.0,33.807770999999995,3.8754971,3.3894482
812.0,726.4020083647713,33.35661,3.3597566000000003,2.9187843
912.0,0.0,35.243792000000006,3.7636265,3.3402166
1012.0,744.4211549316401,35.726,3.3192113,2.9470016
1112.0,1049.8005099373095,35.339687000000005,4.1621009,3.3717742
